Category,Name,Description,Values,Default value
Assembly,auto_constr_always_use_offset,Control whether auto constraint should create offsets. Yes - Auto constraint alw ays creates offsets. No - Auto constraint snaps align or mate if surfaces are wi thin tolerance. Never - Auto constraint never create offsets.,"yes, no, never",no
Assembly,auto_evaluate_simprep_rules,"If the option is ""yes"" newly created rep would be updated each time on   retrieve/regeneration.","yes, no",no
Assembly,auto_locate_in_tree,Automatically expand the tree to locate selected object or use a command to do so.,"yes, no",yes
Assembly,auto_place_max_number,Set the default value for the maximum number of matches allowed.,,5
Assembly,auto_update_intersected_models,Control the appearance of the intersection tool and scope of available functionalities.,"yes, no",yes
Assembly,autoplace_single_comp,Assembling components with an interface will automatically place the component at the first position satisfying the interface definitions.,"yes, no",yes
Assembly,boolean_associative_placement,Yes - Update the resulting Boolean feature according to the placement of the modifying component in boolean operations. No - Don't consider component placement.,"yes, no",yes
Assembly,boolean_copy_datums,Yes - Copy Datum planes to the modified model as a part of boolean operation. No - Don't copy datum planes.,"yes, no",no
Assembly,boolean_copy_quilts,Yes - Copy Quilts to the modified model as a part of boolean operation. No - Don't copy quilts.,"yes, no",yes
Assembly,boolean_discard_modifying,Yes - Delete modifying components after Boolean operations. No - Keep modifying components.,"yes, no",no
Assembly,boolean_transfer_refs,Yes - Transfer all the references from the modifying component to the resulting boolean feature. No - Don't transfer references.,"yes, no",no
Assembly,bump_revnum_on_retr_regen,"Determines whether or not revision number is increased for generic models that regenerate and change during assembly retrieval.  Only applies if new_asm_regen_revnums is yes (otherwise, there will be no revision number bumping).","yes, no",yes
Assembly,can_snap_to_missing_ref,Controls whether to enable snapping to missing references while dragging components for placement. Yes - Snapping is enabled while dragging. No - Snapping is disabled while dragging.,"yes, no",yes
Assembly,check_interface_criteria,Check for interfaces when placing a component.,"yes, no",no
Assembly,check_interference_of_matches,Show only matches that do not interfere with other components.,"yes, no",yes
Assembly,check_same_assy_parts,"Determines whether to permit different names for different part occurrences, or not in mirror subassembly UI.","yes, no",yes
Assembly,chooser_size_filter_default,Sets the size filter default value as a percentage of the overall assembly size,,
Assembly,comp_angle_offset_eps,"Specifies the angle epsilon such that if the desired surfaces are equal or greater than the epsilon (in degrees), than an angle offset constraint will be created.",,10
Assembly,comp_assemble_start,Sets the initial assembly placement behavior when assembling a new component. Default - Default initial position.  Package - Define initial position using the Move option.  Constraint_in_Window - Use secondary window.   Move_then_Place - Define initial position using the Move option and then  define placement constraints.,"package, constrain_in_window, default, move_then_place",
Assembly,comp_placement_assumptions,Use placement assumptions when placing components.,"yes, no",yes
Assembly,comp_retr_angular_increment,Sets the accuracy for the selection of external components based on graphic computation.,,1
Assembly,comp_rollback_on_redef,No - Assembly is not rolled back when the user redefines a component.,"yes, no",yes
Assembly,copy_geom_update_pre_2000i_dep,Yes - Flags independent copy geom features in a pre-2000i model as modified when retrieved into Creo. Save the model immediately to update the model's copy geom dependency information.,"yes, no",
Assembly,copy_geometry_method,Sets the default copy geometry reference(s) type,"publish_geometry, references",publish_geometry
Assembly,create_temp_interfaces,Allow the automatic creation of interfaces based on previous assembly instructions.,"yes, no",no
Assembly,dim_inactive_components,Display inactive assembly components using phantom transparency and default color (grey). Default value is shade_only.,"never, always, shaded_only",shaded_only
Assembly,disp_regen_success_msg,Issue successfull regeneration messages for assembly models.,"yes, no",no
Assembly,enable_advance_collision,Enables advance collision settings usage.,"yes, no",no
Assembly,enable_assembly_accuracy,No - Disables accuracy modification for assembly objects.,"yes, no",yes
Assembly,enable_implied_joints,Allow underconstrained components as mechanism connections.,"yes, no",yes
Assembly,erv_show_external_only,Yes - Global Reference Viewer will show objects with external references only;  No - all the objects will be visible,"yes, no",no
Assembly,fail_ref_copy_when_missing_orig,"Yes - When using a copied geom feature or a backed-up external reference with the Design Manager, and the reference is missing in the original, then the copied geom feature fails. No - The feature freezes and does not update.","yes, no",yes
Assembly,find_with_off_csys_pnt_names,"Set to yes to be able to search by Point feature created with Offset Coordinate System option, using names of its points.","yes, no",no
Assembly,fix_refs_to_intersections,Sets remnant removal ability for the ReIntersect command in the ASSY FEAT menu. Yes - You can remove remnants. No - You cannot remove remnants.,"yes, no",no
Assembly,force_upd_assem_mp_in_simp_rep,Update mass properties parameters even when some of the components of the assembly are not in master rep.,"yes, no, use_stored",use_stored
Assembly,grv_default_view,Sets the default view the reference view starts with - Dependencies or References.,"references, dependencies",references
Assembly,ignore_non_displayed_items,Ignores nondisplayed items when searching the component interface during component placement.,"yes, no",no
Assembly,include_sub_model_interfaces,Includes sub model interfaces as possible references for interface to interface component placement.,"yes, no",yes
Assembly,interface_criteria_mismatch,FAIL_PLACEMENT - Fail regeneration upon component interface criteria mismatch. WARNING_ONLY - A warning message is given during regeneration for the criteria mismatch only without failure. IGNORE - Interface criteria mismatch ignored during regeneration.,"ignore, warning_only, fail_placement",warning_only
Assembly,modify_offset_during_comp_drag,Enables the modification of the value of offset dimensions during component dragging.,"yes, no",no
Assembly,mp_dens_ft_column_mtrl_assigned,Yes - Allows adding an MP_DENSITY column in FT when a material is assigned to a model. When set may cause the same material to have different values for the Density parameter in different instances. Does not affect legacy models.,"yes, no",no
Assembly,mtrl_convert_units,"If set to ""Yes"" Creo will automatically convert units in materials from a library to the model system of units.","yes, no",yes
Assembly,new_wf5_simp_rep_ui,"Yes - Use Component Chooser base Simp Rep UI, No - Use old Simp Rep definition UI.","yes, no",yes
Assembly,package_constraints,Action to take for packaged components in Assembly mode. Update - Updates components if assembly changes. Freeze - Does not move components if assembly changes. Disallow - Does not allow packaged components in assembly (must be fully constrained).,"disallow, freeze, update",update
Assembly,package_ref_alert,Control whether alert dialog is given when packaged component is referenced. Yes - Allow alert when a packaged component is referenced. No -  No Alert is given when a packaged component is referenced.,"yes, no",no
Assembly,preserve_comp_color_in_preview,"Yes - During component placement, component being assembled will retain its normal colors.  No - During component placement, component being assembled is shown in preview color.","yes, no",no
Assembly,regen_notebook_w_assem,Specifies whether or not the notebook will be automatically regenerated upon assembly regeneration.,"yes, no",yes
Assembly,replace_comp_name_method,Sets the naming convention used when replacing components.,"transfer, remove, preserve",transfer
Assembly,replace_history_rule_order,Set the default order of the history evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",3
Assembly,replace_interface_rule_order,Set the default order of the interface evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",1
Assembly,replace_sameid_rule_order,Set the default order of the same id evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",5
Assembly,replace_samename_rule_order,Set the default order of the same name evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",2
Assembly,replace_sameparam_rule_order,Set the default order of the same parameters evaluation rule in the replace operation. Disable - the evaluation rule will be disabled by default. Number - set the order of the rule relative to other evaluation rules.,"1, 3, 2, disable, 4, 5",4
Assembly,replace_unrelated_automatic,Availability of automatic reference pairing in unrelated replace. No - Automatic reference pairing is not available. Yes - Automatic reference pairing is available.,"yes, no",no
Assembly,retrieve_instance_dependencies,Determines whether to retrieve the dependencies of the generic when an instance is retrieved.,"instance_deps_only, instance_and_generic_deps, instance_req_generic",instance_req_generic
Assembly,rv_current_object,Will control default option when setting a model or component as the current object.,"model, component, component + model",component + model
Assembly,rv_search_scope,Sets the search scope for children when entering the reference viewer. Session - Search all objects in session. Window - Search objects in the active window only.,"session, window",session
Assembly,search_area_for_comp_interfaces,Defines the search area for the component interface as a percentage of the component size during component placement.,,100
Assembly,search_not_retrieved_models,"Expands search to include models that have not been retrieved into session. If Yes, models will be brought into session possibly causing performance issues.","yes, no",yes
Assembly,sel_insts_on_comp_retrieval,"Yes - If the components used in the assembly instances are themselves generics, the systems asks if you want to choose an instance as each component is retrieved. No - The generic model of the component is retrieved automatically.","yes, no",no
Assembly,show_interference_in_sections,"Yes - Interference will be shown automatically, No - interference will not be shown automatically.","yes, no",no
Assembly,shrinkwrap_alert,Displays the Shrinkwrap alert the first time the quality level is increased.,"yes, no",yes
Assembly,simple_search_consider_select,Defines whether simple search executes query only inside selected models (if some models selected) or always in scope of entire top-level model.,"yes, no",no
Assembly,simprep_default_model_status,Determines the default model status while defining a new simplified rep.,"automatic, master, geometry, exclude, graphics, light graphics rep",exclude
Assembly,simprep_ondemand_selection,Determines the rep to be retrieved when selecting a reference. Automatic  Retrieves the minimum rep required to perform the operation.,"automatic, master, disable",automatic
Assembly,simprep_ondemand_settings,Determines on-demand retrieval behavior in simplified representation views. Prompt - Ask for confirmation before retrieving on-demand. Never_prompt - Retrieve models on-demand automatically with no confirmation. Disabled - on demand is disabled.,"prompt, disable, never_prompt",never_prompt
Assembly,skeleton_model_default_color,"Specifies the color Creo uses to display new skeleton models. The three decimal values ranging from 0 through 100 specify (in order) the percentages of red, green, and blue in the resulting color. For example, 0 0 49 specifies medium blue.",,0.000000 75.000000 100.000000
Assembly,snap_to_constraints_during_drag,Enables the dynamic snapping to constraints during the dragging of components.,"yes, no",yes
Assembly,update_copy_geom_location,Yes-Copy Geometry will try to update location of copied geometry based on changes to component placements even if some components are excluded or in graphics rep.,"yes, no",yes
Assembly,update_rep_refs,"""Yes"" updates top assembly simplified reps for replacements during regeneration and upon replacement.","yes, no",yes
Assembly,use_3d_thumbnail_in_lwg_rep,Control the usage of 3D thumbnails when retrieving in light weight graphic representation,"yes, no",yes
Assembly,use_active_model_in_transform,Transform analysis default behavior: use active model CSYS and units or not.,"yes, no",no
Assembly Process,curr_proc_comp_def_color,Specifies the default color used to display the current component in a process assembly.,,0.000000 0.000000 0.000000
Assembly Process,curr_proc_comp_def_font,Specifies the default font used on the current component in a process assembly.,,
Assembly Process,display_comps_to_assemble,"Yes - The design model goes into memory and displays. Pick process components from the design model or the Model Tree. No - Only the Model Tree displays. As you pick process components from the Model Tree, they go into memory.","yes, no",yes
Assembly Process,offset_line_def_color,Specifies the color that offset lines are displayed in drawings.,,0.000000 0.000000 0.000000
Assembly Process,offset_line_def_font,Specifies the font in which offset lines are displayed in drawings.,,
Assembly Process,prev_proc_comp_def_color,Specify the default color for components added to a process assembly in a previous step.,,0.000000 0.000000 0.000000
Assembly Process,prev_proc_comp_def_font,Specify the default font for previously added components in a process assembly.,,
Casting & Mold Design,allow_shrink_dim_before,Allow calculation before relations.,"yes, no",no
Casting & Mold Design,default_mold_base_vendor,Default Value for Mold Base vendor.,"futaba_mm, dme, hasco, dme_mm, hasco_mm",
Casting & Mold Design,default_shrink_formula,Default option of shrinkage formula: 1/(1-S) - ASME standard or 1+S (simple).,"asme, simple",simple
Casting & Mold Design,max_thickness_slices,Maximum number of slices in model thickness analysis.,,100
Casting & Mold Design,mold_layout_origin_name,Sets a specified coordinate system as the default for the cavity layout origin.,,
Casting & Mold Design,mold_vol_surf_no_auto_rollback,Do not perform automatic rollback while modifying mold volumes or parting surfaces.,"yes, no",no
Casting & Mold Design,pro_catalog_dir,"Sets the path to the catalog directory containing the catalog menu and the names of other catalog files, such as ejector pins. For example: pro_catalog_dir proe_loadpoint/apps_data/mold_data/catalog. Use full path name to avoid problems.",,
Casting & Mold Design,pro_cav_lay_rule_dir,Sets the default directory for cavity layout rules. Use the full path name to avoid problems.,,
Casting & Mold Design,shrinkage_value_display,Determines how dimensions are displayed when shrinkage is applied to a model with Pro/MOLDESIGN. Percent_shrink - Dimensions appear with the shrinkage percent.,"final_value, percent_shrink",percent_shrink
Colors,color,Turns the colors on or off. Turning colors off displays the model wireframe in white.,"yes, no",yes
Colors,color_ramp_size,"Specifies the number of shades in a color ramp. Applicable to multi-color, shaded model displays of simulation / analysis results. System graphics must support 256 colors and color maps that compress.",,-1
Colors,color_resolution,Specifies minimum allowable deviation between user-defined colors. Colors having RGB values within tolerance of existing colors cannot be created. Decreasing this setting allows more colors that are very similar in RGB value to be defined.,,0.1
Colors,global_appearance_file,Material Global Appearance file path.,,
Colors,lighting_display_for_analysis,Use Lighting color scheme for analyses display.,"yes, no",yes
Colors,mat_assign_appearance,Control whether default appearance in material definition is automatically assigned to a part.,"yes, no",yes
Colors,number_user_colors,Specifies the maximum number of different wireframe colors that can display in the graphics area(s) at any given moment.,,-1
Colors,pro_colormap_path,Specifies the directory path for a color map (.map) file to be loaded from disk. Use the full path name to avoid problems.,,
Colors,reflection_analysis_display,Black and White displays reflection as black and white stripes. Surface color - uses the surface color to represent reflection stripes.,"black and white, surface color",black and white
Colors,suppress_appearance_message,Suppress the Lightworks appearance conversion notification dialog.,"yes, no",no
Colors,system_colors_file,Specifies the system color file. Use the full path name to avoid problems.,,
Colors,use_part_color_for_hidden_lines,"Determines how to color the hidden lines of parts that have user defined colors. ""YES"" - Use the dimmed part color for hidden lines.  SYSTEM_HIDDEN_COLOR is ignored if it has been specified.","yes, no",no
Creo Simulate,ansys_shell181_integ_method,Sets the integration method used for Ansys SHELL181. reduced - uses uniform reduced integration. full - uses full integration. Default is full.,"full, reduced",full
Creo Simulate,custom_rainbow,"Used to specify fringe colors in Pro/FEM-POST results. Specify blue, black, cyan, magenta, green, yellow, red, and white. Enter colors as a dash-delimited string (lowest to highest value). The default is blue-cyan-green-yellow-red-magenta-white.",,
Creo Simulate,fem_allow_named_mesh_files,"Yes - The user will be prompted to select a file to retrieve the mesh from, or enter a file name to save the mesh to. No - The user will not be prompted to select or enter a mesh file name.","yes, no",no
Creo Simulate,fem_ansys_annotations,Toggle transfer of load set names to ANSYS.,"yes, no",no
Creo Simulate,fem_ansys_grouping,Toggle transfer of groups/layers to ANSYS.,"yes, no",no
Creo Simulate,fem_asp_ratio,The value that FEM created elements of aspect ratio are compared against.,,7
Creo Simulate,fem_default_solver,Specify the default solver to be used in FEM mode.,"ansys, nastran, nei_nastran",
Creo Simulate,fem_dist_index,The value that FEM created elements of distortion indices are compared against.,,0.4
Creo Simulate,fem_edge_angle,Sets the minimum acceptable default angle between adjacent element edges. Enter value between 0 and 90.,,30
Creo Simulate,fem_hierarchical_mesh,"Yes - Store and retrieve automatically the FEM mesh in the mesh file upon its creation and on entering Creo Simulate, respectively. This option triggers Hierarchical Mesh mode. No (default) - Do not store or retrieve the FEM Mesh automatically.","yes, no",no
Creo Simulate,fem_inertia_relief,"Enable inertia relief in FEM mode. Creo Simulate will output PARAM,INREL,-2 to a Nastran deck file or XYZ to ANSYS PREP7 file.","yes, no",no
Creo Simulate,fem_keep_solver_files,Yes - All Solver files will be retained after running the analysis. No - All Solver files will be deleted after running the analysis.,"yes, no",no
Creo Simulate,fem_mesh_auto_retrieve,Yes - The FEM mesh will automatically be retrieved from the current working directory on entering Creo Simulate. No - The mesh will not be retrieved automatically. The default is NO.,"yes, no",no
Creo Simulate,fem_mesh_auto_save,Yes - The FEM mesh will be saved in the current working directory after it is created. No - The mesh will not be saved automatically after it is created. The default value is No.,"yes, no",no
Creo Simulate,fem_mesh_link_solid_shell,"Controls the default setting of the Create Solid-Shell Links check box on the FEM Mesh Settings dialog box. By default this option is set to YES, and the check box is selected.","yes, no",yes
Creo Simulate,fem_mesh_operations,"Yes - The menu item Operations appears in the FEM MESH menu, providing access to functionalities to manipulate the finite element mesh. No - the menu FEM MESH will not have the item Operations.","yes, no",no
Creo Simulate,fem_mid_ratio,The value that FEM created elements of mid ratios are compared against.,,0.1
Creo Simulate,fem_neutral_version,Specify the version number of neutral file.,,3
Creo Simulate,fem_output_rigid_link_as_rbar,Yes - Generate individual element for each pair of independent node and dependent node. Nastran output creates multiple RBAR cards. No - Generate a single element between the independent node and all dependent nodes. Nastran output creates a single RBE2 card.,"yes, no",no
Creo Simulate,fem_preserve_mesh,Yes - Issue a warning whenever the current operation invalidates the existing FEM mesh. No (default) - Erase the mesh without notification when it becomes incompatible with the model.,"yes, no",no
Creo Simulate,fem_shell_elem_type,Sets the default shell element type in FEM mode.,"tri, quad",quad
Creo Simulate,fem_skew_angle,"Sets the maximum acceptable default skew angle value, measured in degrees. Enter a value between 0 and 90.",,45
Creo Simulate,fem_solver_time_limit,Interrupt the Nastran solver after the specified time limit in minutes using the TIME executive card. A negative number directs the solver to use its own default. The default value of this option is -1.,,-1
Creo Simulate,fem_taper,Sets the minimum acceptable default taper value. Enter a value between 0 and 1.,,0.5
Creo Simulate,fem_warp_angle,"Sets the maximum acceptable default warp angle value, measured in degrees. Enter a value between 0 and 90.",,10
Creo Simulate,fem_which_ansys_solver,"Specifies the ANSYS equation solver type to be used. Supported solver types: FRONTAL, ITERATIVE (JCG), POWERSOLVER (PCG), ICCG, AUTO, and SPARSE.","frontal, iterative, powersolver, auto, iccg, sparse",
Creo Simulate,fem_y_dir_compress,Specifies the Y-direction based on compressed and uncompressed geometry. The default value is uncompressed.,"yes, no",no
Creo Simulate,pro_ansys_path,Specify the path to ANSYS executable.,,
Creo Simulate,pro_nastran_path,Specify the path to MSC/NASTRAN executable.,,
Creo Simulate,pro_nei_nastran_path,Specifies the path to the NEi Nastran executable.,,
Creo Simulate,pro_solver_name,Specifies the name of the user-defined solver to be included in the SOLVE menu. See also pro_solver_path.,,
Creo Simulate,pro_solver_path,Specifies the path to the user-defined solver whose name is defined in the SOLVE menu. See also pro_solver_name,,
Creo Simulate,sim_accurate_asm_links,Forces assembly link calculations to take into account the separation of linked shells.,"yes, no",no
Creo Simulate,sim_additive_mass,Treats Mass Idealizations as additive if they are applied to the same entity and suppresses Mass precedence rules.,"yes, no",no
Creo Simulate,sim_agem_delete_mesh_points,Yes - Deletes the points inserted during an AutoGEM session when deleting mesh elements. No - Retains the points inserted during an AutoGEM session when deleting mesh elements.,"yes, no",yes
Creo Simulate,sim_agem_edge_by_crv_default,Sets the default value for the ratio of Edge Length / Radius of curvature.,,2
Creo Simulate,sim_agem_edge_crv,Sets the value for the target ratio of Edge Length / Radius of curvature  for automatic creation of a global AutoGEM Control.,,0
Creo Simulate,sim_agem_model_thickness,"Set the value to the part thickness. This causes AutoGEM to perform more boundary refinement, and can be very useful for thinner parts.",,-1
Creo Simulate,sim_auto_create_thinsolids,Create automatic thin solids during mesh.,"yes, no",no
Creo Simulate,sim_auto_map_max_angle,Sets the default maximum angle tolerance for auto-mapping of pressure load. The valid range is from 0 to 90 degrees.,,10
Creo Simulate,sim_auto_map_max_dist,Sets the default maximum distance tolerance (relative to model size) for auto-mapping of pressure load. The default value is 0.0012.,,0.0012
Creo Simulate,sim_auto_pairing_thickness,"Set the value of characteristic thickness for auto-detection of shell pairs. Using this as a threshold value, auto-detection will find surface pairs with thickness smaller than this value.",,0
Creo Simulate,sim_auto_regen_enabled,Yes - Regenerate model on entrance to Creo Simulate. No - Don't regenerate the model.,"yes, no",yes
Creo Simulate,sim_beamsection_path,Specifies the path where the Beam Sections will be stored.,,
Creo Simulate,sim_bearing_allow_cone_sel,Allow cone selection for creation of bearing load.,"yes, no",no
Creo Simulate,sim_calculate_node_reaction,Enables node reaction calculations for point constraints within links. The default value is NO.,"yes, no",no
Creo Simulate,sim_check_jacobian_corners,No - Suppress Jacobian checks at corner nodes. ANSYS and Nastran checks parabolic elements Jacobian at the integration points only and FEM will fix too curved elements for the same criterion. Yes - Jacobian is checked both at integration points and corner nodes. FEM mode will fix too curved elements accordingly.,"yes, no",no
Creo Simulate,sim_contact_penetration,Specify the value of contact penetration depth in percentage (greater than 0.0 upto 100.0 with default as 5.0).,,5
Creo Simulate,sim_contact_tolerance_factor,Modifies the convergence tolerance for contact. The specified factor will be multiplied by the default tolerance.,,1
Creo Simulate,sim_display_agem_controls,Toggle display of AutoGEM Controls.,"yes, no",
Creo Simulate,sim_display_arrow_scale,Toggle automatic arrow scaling.,"yes, no",
Creo Simulate,sim_display_arrow_tail_touching,Toggle display of Load arrows to have tails or heads touching.,"yes, no",
Creo Simulate,sim_display_beam_releases,Toggle display of Beam Release icons.,"yes, no",
Creo Simulate,sim_display_beam_sections,Toggle display of beam section icons.,"yes, no",
Creo Simulate,sim_display_beams,Toggle display of beam icons.,"yes, no",
Creo Simulate,sim_display_beams_mode,Specify the display mode of icons for Beams.,"wireframe, shaded, transparent",
Creo Simulate,sim_display_contacts,Toggle display of contact icons.,"yes, no",
Creo Simulate,sim_display_cracks,Toggle display of crack icons.,"yes, no",
Creo Simulate,sim_display_fasteners,Toggle display of Fastener icons.,"yes, no",
Creo Simulate,sim_display_fasteners_mode,Specify the display mode of icons for Fasteners.,"wireframe, shaded, transparent",
Creo Simulate,sim_display_highlight_refs,Yes -  Geometrical references are highlighed when selecting a load/constraint.,"yes, no",
Creo Simulate,sim_display_in_spin,Toggle display of simulation objects in Dynamic Spin.,"yes, no",
Creo Simulate,sim_display_internal_mesh_edges,"Specifies whether internal edges of mesh elements should be displayed in the wireframe mode. The default is ""No"".","yes, no",no
Creo Simulate,sim_display_load_distribution,Toggle display of distributed load vectors over entire entity.,"yes, no",
Creo Simulate,sim_display_load_icons,Toggle display of load icons.,"yes, no",
Creo Simulate,sim_display_load_name,Yes - The load/constraint name appears in the label.,"yes, no",
Creo Simulate,sim_display_load_value,Toggle display of Load values.,"yes, no",
Creo Simulate,sim_display_loads_from_comps,Toggle display of loads and constraints defined on lower-level components of assembly.,"yes, no",
Creo Simulate,sim_display_loads_mode,Specify the display mode of icons for Loads and Constraints.,"wireframe, shaded",
Creo Simulate,sim_display_loads_zi,Toggle zoom-insensitive behavior of shaded icons for Loads and Constraints.,"yes, no",
Creo Simulate,sim_display_masses,Toggle display of mass icons.,"yes, no",
Creo Simulate,sim_display_masses_mode,Specify the display mode of icons for Masses.,"wireframe, shaded, transparent",
Creo Simulate,sim_display_masses_zi,Toggle zoom-insensitive behavior of shaded icons for Masses.,"yes, no",
Creo Simulate,sim_display_matl_assignments,Toggle display of Material Assignment icons.,"yes, no",
Creo Simulate,sim_display_measures,Toggle display of Simulation Measure icons.,"yes, no",
Creo Simulate,sim_display_mesh_and_model,Toggle display of Mesh together with Model.,"yes, no",
Creo Simulate,sim_display_mesh_control_name,Yes - The Mesh/AutoGEM control name appears in the label.,"yes, no",
Creo Simulate,sim_display_mesh_control_value,Yes - The Mesh/AutoGEM control value appears in the label.,"yes, no",
Creo Simulate,sim_display_mesh_controls,Toggle display of Mesh Controls.,"yes, no",
Creo Simulate,sim_display_mesh_entities,Toggle display of Mesh entities.,"yes, no",
Creo Simulate,sim_display_mesh_mode,Specify the mode of mesh display in FEM preprocessor.,"wireframe, no_mesh, hidden, nohidden, shading",
Creo Simulate,sim_display_mesh_quality,Specify the quality of mesh display in Creo Simulate.,"medium, fine, coarse",
Creo Simulate,sim_display_mesh_shells_thick,Toggle the display of shell thickness in Creo Simulate mesh. YES - Display shells with real thickness. NO - Display shells with zero thickness.,"yes, no",
Creo Simulate,sim_display_mesh_shrink_elems,Control display of Mesh through a specified percentage of shrinking of its elements.,,-1
Creo Simulate,sim_display_model_type,Toggle the display of the Simulation model setup in the lower left corner of Creo screen.,"yes, no",yes
Creo Simulate,sim_display_names,Toggle display of Simulation Object names.,"yes, no",
Creo Simulate,sim_display_rigid_dof,Toggle display of Rigid Link DOF icons.,"yes, no",
Creo Simulate,sim_display_rigid_links,Toggle display of Rigid Link icons.,"yes, no",
Creo Simulate,sim_display_shells,Toggle display of shell icons.,"yes, no",
Creo Simulate,sim_display_shells_mode,Specify the display mode of icons for Shells.,"wireframe, shaded, transparent, outline",
Creo Simulate,sim_display_springs,Toggle display of spring icons.,"yes, no",
Creo Simulate,sim_display_struct_constraints,Toggle display of structure constraint icons.,"yes, no",
Creo Simulate,sim_display_struct_loads,Toggle display of structure load icons.,"yes, no",
Creo Simulate,sim_display_therm_bcs,Toggle display of Thermal Boundary Condition icons.,"yes, no",
Creo Simulate,sim_display_therm_loads,Toggle display of thermal load icons.,"yes, no",
Creo Simulate,sim_display_weighted_dof,Toggle display of Weighted Link DOF icons.,"yes, no",
Creo Simulate,sim_display_weighted_links,Toggle display of Weighted Link icons.,"yes, no",
Creo Simulate,sim_display_welds,Toggle display of Weld icons.,"yes, no",
Creo Simulate,sim_expanded_diagnostics,Yes - Creo Simulate will perform an expanded set of diagnostic checks during meshing a model or running an analysis. These include checks for interferences in an assembly and for singular geometry. No - Creo Simulate will not perform expanded checks.,"yes, no",no
Creo Simulate,sim_extend_surf_max_angle,"Controls the maximum angle between a surface to be extended during shell compression and its adjacent surfaces. If the angle is higher than specified, the adjacent surfaces is extended. The default is 30 degrees. The range is from 0 to 90 degrees.",,30
Creo Simulate,sim_fatigue_biaxiality_correct,Controls the use of biaxiality correction. The default value is YES.,"yes, no",yes
Creo Simulate,sim_fatigue_biaxiality_method,"Controls which method is used to model biaxiality: SIMPLE calculates a simple biaxiality ratio only, STANDARD uses nCode method of assessment and AUTO performs the standard method, but may recalculate depending on the results of the assessment. The default value is AUTO.","simple, auto, standard",auto
Creo Simulate,sim_fatigue_confidence_level,"Specifies the percentage confidence in the predicted life result value. The default value is 90, and range is from 0.1 to 99.9",,90
Creo Simulate,sim_fatigue_external_matdata,Controls the use of external material data. The default value is NO.,"yes, no",no
